iter	Passed	Remaining
0	148	148438
1	149	74731
2	150	50056
3	151	37704
4	152	30278
5	152	25320
6	153	21770
7	154	19110
8	154	17043
9	155	15387
10	156	14036
11	156	12919
12	157	11963
13	158	11143
14	158	10433
15	159	9814
16	160	9281
17	161	8793
18	161	8360
19	162	7975
20	163	7620
21	164	7297
22	164	7001
23	165	6731
24	166	6482
25	166	6251
26	167	6039
27	168	5839
28	168	5655
29	169	5482
30	170	5321
31	170	5169
32	171	5028
33	172	4895
34	173	4779
35	174	4662
36	174	4549
37	175	4442
38	176	4342
39	176	4246
40	177	4155
41	178	4069
42	179	3986
43	179	3906
44	180	3829
45	181	3756
46	181	3686
47	182	3619
48	183	3556
49	184	3496
50	184	3437
51	185	3379
52	186	3324
53	186	3275
54	187	3225
55	188	3176
56	189	3132
57	190	3088
58	190	3044
59	191	3001
60	192	2959
61	192	2919
62	193	2880
63	194	2841
64	194	2804
65	195	2769
66	196	2734
67	196	2697
68	197	2666
69	198	2634
70	198	2603
71	199	2572
72	200	2546
73	201	2517
74	201	2490
75	202	2463
76	203	2437
77	204	2411
78	204	2386
79	205	2361
80	206	2337
81	206	2315
82	207	2293
83	208	2271
84	208	2248
85	209	2228
86	210	2204
87	210	2184
88	211	2164
89	212	2144
90	212	2125
91	213	2110
92	214	2092
93	215	2074
94	215	2056
95	216	2039
96	217	2022
97	217	2006
98	218	1990
99	219	1973
100	220	1958
101	220	1939
102	221	1924
103	221	1910
104	222	1895
105	223	1880
106	223	1866
107	224	1852
108	224	1839
109	225	1825
110	226	1814
111	227	1801
112	227	1789
113	228	1777
114	229	1764
115	229	1751
116	230	1739
117	231	1728
118	231	1715
119	232	1704
120	233	1693
121	233	1682
122	234	1669
123	234	1658
124	235	1649
125	236	1639
126	236	1628
127	237	1617
128	238	1607
129	238	1599
130	239	1590
131	240	1580
132	241	1571
133	241	1562
134	242	1553
135	243	1544
136	243	1535
137	244	1525
138	244	1517
139	245	1508
140	246	1500
141	247	1493
142	247	1484
143	248	1476
144	249	1468
145	249	1461
146	250	1453
147	251	1445
148	251	1438
149	252	1431
150	253	1424
151	253	1416
152	254	1409
153	255	1402
154	255	1395
155	256	1388
156	257	1382
157	258	1375
158	258	1368
159	259	1361
160	260	1355
161	260	1348
162	261	1342
163	262	1335
164	262	1329
165	263	1323
166	264	1316
167	265	1312
168	265	1306
169	266	1300
170	267	1294
171	267	1288
172	268	1283
173	269	1277
174	269	1271
175	270	1266
176	271	1260
177	271	1255
178	272	1249
179	273	1244
180	273	1237
181	274	1234
