iter	Passed	Remaining
0	150	150574
1	152	76048
2	153	51142
3	154	38523
4	155	30947
5	156	25887
6	157	22281
7	157	19573
8	158	17471
9	159	15800
10	160	14421
11	161	13298
12	162	12333
13	163	11524
14	165	10843
15	166	10254
16	167	9694
17	168	9190
18	169	8744
19	170	8344
20	171	7976
21	171	7642
22	173	7368
23	174	7087
24	175	6826
25	175	6586
26	176	6372
27	178	6179
28	179	6001
29	180	5823
30	180	5653
31	181	5494
32	182	5345
33	183	5203
34	183	5071
35	184	4953
36	186	4842
37	186	4732
38	187	4626
39	188	4524
40	189	4426
41	191	4377
42	193	4297
43	193	4213
44	194	4133
45	195	4055
46	196	3980
47	197	3909
48	197	3840
49	198	3778
50	199	3714
51	200	3653
52	201	3593
53	201	3536
54	202	3481
55	203	3428
56	204	3383
57	205	3342
58	206	3301
59	207	3254
60	208	3208
61	209	3165
62	210	3129
63	211	3091
64	212	3052
65	212	3014
66	213	2975
67	214	2938
68	215	2902
69	215	2866
70	216	2831
71	217	2800
72	218	2774
73	219	2747
74	220	2718
75	221	2689
76	221	2659
77	222	2630
78	223	2602
79	224	2576
80	224	2550
81	225	2524
82	225	2495
83	226	2470
84	227	2446
85	227	2422
86	228	2399
87	229	2376
88	230	2354
89	230	2333
90	231	2316
91	232	2298
92	233	2280
93	234	2264
94	235	2245
95	236	2225
96	237	2209
97	238	2191
98	238	2173
99	239	2155
100	240	2137
101	240	2120
102	241	2104
103	242	2087
104	242	2071
105	243	2054
106	244	2039
107	245	2027
108	246	2016
109	247	2003
110	248	1989
111	249	1974
112	249	1961
113	250	1947
114	251	1933
115	251	1920
116	252	1905
117	253	1892
118	253	1879
119	254	1866
120	255	1854
121	255	1841
122	256	1828
123	257	1817
124	257	1805
125	259	1797
126	260	1787
127	261	1778
128	262	1771
129	263	1760
130	263	1750
131	264	1740
132	265	1729
133	266	1719
134	266	1708
135	267	1698
136	268	1688
137	268	1678
138	269	1669
139	270	1659
140	271	1651
141	271	1640
142	272	1631
143	273	1624
144	274	1617
145	275	1610
146	276	1602
147	276	1593
148	277	1584
149	278	1576
150	278	1567
151	279	1559
152	280	1550
153	280	1542
154	281	1534
155	282	1526
156	282	1518
157	283	1510
158	284	1503
159	284	1495
160	285	1487
161	286	1480
162	287	1475
163	288	1469
164	289	1463
165	289	1456
166	290	1449
167	291	1442
168	291	1435
169	292	1428
170	293	1421
171	293	1414
172	294	1408
173	295	1401
174	295	1395
175	296	1388
176	297	1382
177	297	1375
178	298	1369
179	299	1363
180	299	1357
181	300	1352
182	302	1348
183	302	1343
184	303	1338
185	304	1332
186	305	1327
187	306	1322
188	306	1317
189	307	1312
190	308	1307
191	309	1301
192	310	1296
193	310	1291
194	311	1286
195	312	1281
196	313	1276
197	313	1271
198	315	1268
199	316	1264
200	316	1259
201	317	1253
202	318	1250
203	319	1245
204	319	1240
205	320	1235
206	321	1230
207	321	1226
208	322	1221
209	323	1216
210	323	1211
211	324	1206
212	325	1201
213	326	1197
214	326	1192
215	327	1188
216	328	1184
217	329	1181
218	330	1177
219	330	1172
220	331	1168
221	332	1164
222	332	1159
223	333	1155
224	334	1151
225	334	1146
226	335	1142
227	336	1138
228	336	1134
229	337	1130
230	338	1126
231	338	1121
232	339	1117
233	340	1113
234	341	1110
235	342	1107
236	343	1104
237	344	1101
238	345	1098
239	345	1095
240	346	1091
241	347	1088
242	348	1084
243	348	1080
244	349	1076
245	350	1073
246	350	1069
247	351	1065
248	352	1062
249	352	1058
250	353	1055
251	354	1052
252	355	1049
253	356	1047
254	357	1045
255	358	1042
256	359	1039
257	360	1036
258	361	1033
259	361	1029
260	362	1026
261	363	1023
262	364	1020
263	364	1017
264	365	1013
265	366	1010
266	367	1008
267	368	1005
268	368	1002
269	369	1000
270	371	998
271	372	995
272	372	993
273	373	990
274	375	988
275	375	986
276	376	983
277	377	980
278	378	978
279	379	975
280	380	973
281	381	970
282	381	967
283	382	964
284	383	962
285	384	960
286	385	957
287	386	955
288	387	952
289	387	949
290	388	946
291	389	943
292	389	940
293	390	937
294	391	934
295	391	932
296	392	929
297	393	926
298	394	923
299	394	921
300	395	918
301	396	915
302	396	912
303	398	911
304	398	909
305	399	906
306	400	903
307	401	901
308	402	899
309	402	896
310	403	894
311	404	891
312	405	888
313	405	886
314	406	884
315	407	881
316	407	878
317	408	876
318	409	873
319	409	871
320	410	868
321	411	867
322	412	865
323	413	862
324	414	860
325	414	857
326	415	855
327	416	852
328	417	850
329	417	847
330	418	845
331	419	843
332	420	841
333	420	839
334	421	836
335	422	834
336	422	831
337	423	829
338	424	827
339	425	825
340	426	823
341	427	821
342	427	819
343	428	817
344	429	815
345	430	813
346	430	811
347	431	808
348	432	806
349	433	804
350	433	802
351	434	799
352	435	797
353	435	795
354	436	792
355	437	790
356	437	788
357	438	786
358	439	784
359	440	783
360	441	781
361	442	779
362	443	777
363	444	776
364	445	774
365	445	772
366	446	770
367	447	768
368	448	767
369	449	765
370	450	763
371	451	762
372	452	761
373	454	760
374	455	758
375	456	756
376	457	755
377	458	753
378	458	751
379	459	750
380	460	748
381	461	746
382	462	744
383	462	742
384	463	740
385	464	739
386	465	737
387	466	736
388	467	734
389	468	732
390	469	730
391	470	729
392	471	728
393	472	726
394	473	724
395	474	723
396	474	721
397	475	719
398	476	718
399	478	717
400	478	715
401	479	713
402	481	713
403	482	711
